iter	Accuracy	MultiClass
694	0.7733161489	0.6758998352
695	0.773533744	0.6755581056
696	0.7737178629	0.6753311825
697	0.773952196	0.6750883818
698	0.7741865292	0.6745935952
699	0.77435391	0.6742638992
700	0.7743371719	0.6740059646
701	0.7744543385	0.6738606821
702	0.7744878147	0.6735429247
703	0.7745212908	0.6734247775
704	0.7747723621	0.6730860151
705	0.7750401714	0.6726220172
706	0.7753247188	0.6722154874
707	0.7756092662	0.6719846644
708	0.7756260043	0.6718433411
709	0.77557579	0.6715361067
710	0.7758603374	0.6712517183
711	0.7759272898	0.6710549307
712	0.7762285753	0.6707441264
713	0.7763959561	0.6705702793
714	0.7767976701	0.6702263487
715	0.7770320032	0.6699275976
716	0.7773165506	0.6697518984
717	0.7774671934	0.6693032462
718	0.7774671934	0.6689814932
719	0.7776345742	0.6687212138
720	0.7777684788	0.668482811
721	0.7777350027	0.6683971255
722	0.7782538832	0.6680018434
723	0.7782371452	0.6678587906
724	0.7784882164	0.6675747185
725	0.7785719068	0.6671773608
726	0.778605383	0.6671178979
727	0.7787895019	0.6669696025
728	0.7794422871	0.666461418
729	0.7794088109	0.6663089402
730	0.7794757633	0.6658607673
731	0.7799109534	0.6654413248
732	0.7797770487	0.6652416639
733	0.7797100964	0.6650405146
734	0.7796598822	0.6648616023
735	0.7797100964	0.6646934034
736	0.7797435726	0.6646739203
737	0.7798942153	0.6643276632
738	0.7802624531	0.6638757167
739	0.7803126674	0.6637008575
740	0.7803294055	0.6633979651
741	0.7803461435	0.6630283753
742	0.7805972148	0.6627777581
743	0.7804800482	0.6626144962
744	0.7802959293	0.6622485359
745	0.7803628816	0.6619333494
746	0.7803126674	0.6616896133
747	0.780848286	0.6612418881
748	0.7811160953	0.6610742331
749	0.7813002142	0.6608164807
750	0.7814341189	0.6604556694
751	0.7813504285	0.6601934976
752	0.7816349759	0.6598292277
753	0.7817856186	0.6596147117
754	0.7818358329	0.6594523755
755	0.7819864756	0.6593702284
756	0.782053428	0.6589991614
757	0.7820366899	0.6586165914
758	0.7824551419	0.6583692955
759	0.7828233798	0.658059308
760	0.7830577129	0.6577006767
761	0.7831246652	0.6575523568
762	0.7830911891	0.6574133257
763	0.7831079272	0.6571840982
764	0.7831916176	0.6571074883
765	0.7832083557	0.6570742332
766	0.7833757365	0.6568371454
767	0.7836602839	0.6565188767
768	0.7835765935	0.6561217478
769	0.7839950455	0.6557582107
770	0.7840117836	0.6554826143
771	0.7843632833	0.6551872861
772	0.7845474022	0.6548902057
773	0.7845474022	0.6547656818
774	0.7847649973	0.6544245293
775	0.7848486877	0.6542275408
776	0.7849491162	0.6539910758
777	0.7849658543	0.6536173534
778	0.7853340921	0.6532844233
779	0.7854847349	0.6531237377
780	0.7853675683	0.6527727576
781	0.7854177825	0.6525843111
782	0.7856521157	0.6523194346
783	0.7859534012	0.652023481
784	0.7859868773	0.6519712674
785	0.7861709963	0.6516863412
786	0.7866396626	0.6513382854
787	0.7871752812	0.6510939468
788	0.787125067	0.6508361632
789	0.7873928763	0.6505832792
790	0.7873761382	0.6504489328
791	0.7874096144	0.6501087975
792	0.7875100428	0.649983912
793	0.7875100428	0.6497846621
794	0.7874598286	0.6495567305
795	0.7875602571	0.649103727
796	0.7876439475	0.6489004289
797	0.7875602571	0.6487892464
798	0.7875937333	0.648476944
799	0.7878113283	0.6482310949
800	0.7880958757	0.6479571492
801	0.7880791377	0.6477160918
802	0.7882130423	0.6475976617
803	0.7881628281	0.6472198196
804	0.7885812801	0.6468332076
805	0.7888993037	0.6464596433
806	0.7891001607	0.6461586298
807	0.7895855651	0.6456727464
808	0.7896357793	0.6455966036
809	0.7896525174	0.6454825423
810	0.7897027317	0.6450829495
811	0.7896859936	0.6448324008
812	0.7897027317	0.6446019067
813	0.7898366363	0.6445010059
814	0.7900709695	0.6443076452
815	0.7901211837	0.6441547129
816	0.7899370648	0.6439548487
817	0.7899872791	0.6437016513
818	0.7900709695	0.6434500419
819	0.7900877076	0.643299856
820	0.7902216122	0.6430406695
821	0.7907070166	0.6427364853
822	0.7906902785	0.6425969002
823	0.7909413498	0.6423517238
824	0.7911422067	0.6420868944
825	0.791192421	0.6417870488
826	0.7913263257	0.6416759908
827	0.7913263257	0.6414941131
828	0.7912593733	0.6412193715
829	0.7913430637	0.6411038673
830	0.7913263257	0.6409774243
831	0.791594135	0.640570571
832	0.7917113016	0.6404151504
833	0.7922469202	0.6400962779
834	0.7923138725	0.6398319518
835	0.7923808249	0.6395348917
836	0.7923975629	0.6392680355
837	0.792816015	0.6388879156
838	0.7929164435	0.6387405319
839	0.7931005624	0.6385080128
840	0.7929331816	0.6383446905
841	0.793016872	0.6381746361
842	0.7934855383	0.6377786416
843	0.7937198715	0.6374716319
844	0.7940211569	0.6371750959
845	0.7940713712	0.6369692332
846	0.7942889663	0.6367300077
847	0.7946739422	0.6363745325
848	0.7946572041	0.6361572911
849	0.7947241564	0.6359809698
850	0.7949082753	0.6356210647
851	0.7950923942	0.6353295513
852	0.7952262989	0.6350762022
853	0.7951760846	0.6349556988
854	0.7952932512	0.6347190644
855	0.7951593465	0.6343607472
856	0.7953267274	0.6340344288
857	0.7953936797	0.6336437524
858	0.7955610605	0.6333235468
859	0.795661489	0.6332130206
860	0.795661489	0.6331560827
861	0.7956782271	0.6330244489
862	0.795862346	0.6327420404
863	0.7962807981	0.632351893
864	0.7962305838	0.6321015184
865	0.7962473219	0.631867854
866	0.7962807981	0.631685937
867	0.7965988216	0.6314036282
868	0.7966992501	0.6310906303
869	0.7966992501	0.6310403854
870	0.7966322978	0.630898061
871	0.7967327263	0.6306781337
872	0.7969670595	0.6303562563
873	0.796866631	0.630201517
874	0.7969168452	0.6300359663
875	0.7970507499	0.6297389492
876	0.7973687734	0.6294723105
877	0.7975194162	0.6291307981
878	0.797686797	0.6289461699
879	0.7976031066	0.6288390985
880	0.797887654	0.6287110787
881	0.7979713444	0.6285682627
882	0.7982391537	0.6284400733
883	0.7981722014	0.6282554053
884	0.7983228441	0.6279258847
885	0.798289368	0.6276841833
886	0.798490225	0.6273808285
